Time;Load_1;Load_2;Disp_1;Disp_2;E11;E22
39.05087;0.10654;0.0511;1.7365;0.51959;0.07594494825532205;0.027646719098507466
39.33943;0.31963;0.03908;1.7064;0.50244;0.073882846908922;0.025925927043415453
39.59455;0.15981;0.04208;1.68031;0.48749;0.07269855288155502;0.026216596063306064
39.85227;0.07521;0.02705;1.65173;0.47234;0.07139129490576657;0.025367467609545225
40.12256;0.25382;0.00601;1.62258;0.45663;0.06962033962663006;0.02484164760940233
40.37942;0.26636;0.01202;1.59763;0.44186;0.06900767727073587;0.024088014218388132
40.64077;0.24442;0.00902;1.5702;0.4271;0.06618827154336504;0.023153599294073346
40.89459;0.08461;-0.01202;1.5441;0.41291;0.06587221130954712;0.022699684919129104
41.14463;0.16922;-0.01503;1.51714;0.399;0.06446197343847337;0.022166097814298347
41.38785;0.0376;-0.02705;1.49057;0.38576;0.06288209880069806;0.02148229668034185
41.63605;0.14415;-0.02705;1.46447;0.37243;0.06118236285829948;0.02053224446828117
41.87701;0.16295;-0.02405;1.44151;0.35966;0.0594262164103172;0.02018350251260803
42.14872;-0.0376;-0.02104;1.41722;0.34557;0.05809813436726696;0.019896636139488666
44.50678;0.15355;0.02705;1.50505;0.38405;0.05903215370538184;0.020378093003118214
44.75884;0.28829;0.02104;1.5059;0.38691;0.06164770988370727;0.020806907563609034
44.99751;0.24442;0.03607;1.50447;0.38872;0.06186753465162054;0.020827016456584357
45.24361;0.25069;0.04509;1.50228;0.39081;0.06180944044149972;0.02110119759518425
45.49891;0.27576;0.03607;1.50009;0.39338;0.06133021857995602;0.021140285831553474
45.74431;0.21622;0.03306;1.49571;0.39614;0.06099196791341854;0.021161070247598168
45.99056;0.05014;0.03908;1.49085;0.39948;0.060795006811849905;0.021079505719390323
46.25531;0.15041;0.04208;1.48771;0.40367;0.060942593822028934;0.021157332651622007
46.4992;0.28516;0.0511;1.48847;0.40824;0.06110647885011078;0.02146930600139918
46.76328;0.25696;0.03607;1.4919;0.41367;0.06043816732232388;0.02088628380242752
47.00251;0.29143;0.0511;1.49628;0.41939;0.06082591375636315;0.020911977202907495
47.27356;0.10968;0.06613;1.50219;0.42672;0.06132970829152895;0.021564074122925714
47.52747;0.13161;0.07214;1.50609;0.43415;0.061076477707510124;0.021920053509595916
47.76561;0.22249;0.07815;1.51152;0.44196;0.062462163196736364;0.022308291511577094
48.01177;0.07521;0.08116;1.52029;0.45063;0.0623601818814743;0.022594117436932848
48.2623;0.30709;0.10821;1.53105;0.46006;0.0635907595101588;0.02368292491987989
48.50985;0.11594;0.1022;1.54581;0.47006;0.06364816786920469;0.02361698111573285
48.76705;0.20682;0.12925;1.5602;0.48111;0.06478995254388686;0.024082787551906293
49.01357;0.16608;0.1533;1.57563;0.49235;0.06612663831616783;0.02481881768974148
49.26771;0.20369;0.15029;1.59344;0.50454;0.06717716016088793;0.025519640394149334
49.51606;0.26322;0.18637;1.61115;0.51711;0.06787171695282346;0.0257959846860345
49.76442;0.34783;0.19238;1.63173;0.53026;0.06808343052790788;0.026006435323419175
50.03653;0.31963;0.22244;1.65392;0.54521;0.06926196912165017;0.02681460446913897
50.28802;0.25696;0.23747;1.67459;0.55969;0.0710498707646926;0.0275525178555327
50.54874;0.26009;0.24648;1.69545;0.57521;0.07169040358164114;0.027783942053926647
50.79594;0.32903;0.29157;1.71621;0.59055;0.07301671709147706;0.028233039554962147
51.04271;0.48258;0.28857;1.7386;0.60646;0.07342140158147581;0.02852018555600877
51.2876;0.32903;0.3036;1.76241;0.62255;0.07560574284589205;0.03010038610567911
51.53444;0.32903;0.35169;1.78613;0.63941;0.07660949976754838;0.03051520009812081
51.79365;0.32903;0.37874;1.81194;0.65789;0.07887060791746148;0.031816992623478035
52.04059;0.56718;0.42082;1.83699;0.6758;0.0794380945524058;0.03262113137850664
52.28601;0.48884;0.41181;1.86376;0.69418;0.08128822672316205;0.033693066008428696
52.53101;0.3635;0.4569;1.89081;0.71276;0.08265134072706537;0.03390585538015156
52.80373;0.59852;0.48996;1.92072;0.7339;0.08343921060325055;0.03481993448679288
53.06043;0.61732;0.511;1.95005;0.75419;0.08594673222691485;0.036255879276208436
53.30238;0.63926;0.53505;1.97625;0.77372;0.08651698214537418;0.036887377329215765
53.55514;0.49198;0.57112;2.00435;0.79458;0.08847345950047725;0.037901448079553424
53.80348;0.67059;0.6102;2.03187;0.81553;0.0913279651482749;0.03891112905055105
54.05225;0.49198;0.61621;2.05931;0.83668;0.09226918282373142;0.039497870888065
54.29454;0.53898;0.66731;2.08683;0.85773;0.09401956610942064;0.04106565447159227
54.54622;0.61419;0.68534;2.11855;0.87992;0.09534559781333529;0.04196263881614992
54.78885;0.57345;0.72743;2.15189;0.90154;0.0973447103421815;0.043150856212973876
55.03048;0.54212;0.76049;2.18542;0.92345;0.0991665948649435;0.044427446836701745
55.27294;0.58599;0.79957;2.22161;0.94545;0.10151620541907225;0.0454717843565251
55.51401;0.65179;0.83263;2.25885;0.96764;0.10439524681630297;0.046901141019217385
55.79286;0.64239;0.8657;2.30343;0.99374;0.107095121234271;0.047990553592574425
56.03589;0.75207;0.90477;2.34353;1.0166;0.10946587274998099;0.04966317553081212
56.27457;0.7458;0.94686;2.38373;1.03908;0.11156262791399973;0.05071841326806781
56.51947;0.96202;0.99495;2.42411;1.06223;0.11306454833168922;0.05204075984145218
56.77204;0.75207;1.022;2.46555;1.08623;0.11703021520905776;0.05405167020061574
57.01132;0.79594;1.0701;2.50288;1.109;0.12029158626733216;0.05585187344094533
57.25537;0.87428;1.10917;2.54098;1.13224;0.12169534851994934;0.05651363454839309
57.49917;1.02783;1.14825;2.58023;1.15538;0.12456601877998208;0.057640869896677716
57.74341;1.09363;1.19634;2.61957;1.17843;0.1263445970195174;0.058712101285462004
57.98502;1.0811;1.24744;2.65928;1.20129;0.12974372029298042;0.06096000011466596
58.23285;0.92442;1.26548;2.69758;1.22463;0.13223004714616615;0.06228356463944129
58.47415;0.96829;1.30155;2.73282;1.24701;0.13460112966862492;0.06393033078697752
58.75878;1.17824;1.38271;2.77559;1.27349;0.13662509384528476;0.0648294537592401
59.01776;1.18137;1.41277;2.81702;1.2975;0.13920929671192372;0.0662144481875282
59.26213;1.28478;1.45786;2.85683;1.31997;0.1415934837790428;0.06781825901648786
59.50559;1.27225;1.49693;2.89674;1.34207;0.14487686315435788;0.06980895703351064
59.75491;1.1469;1.52699;2.9338;1.36398;0.14760107748150042;0.07121058462037255
59.99727;1.24091;1.56306;2.96637;1.38436;0.14969051466751004;0.07253321681911062
60.23785;1.30672;1.59913;2.99942;1.40408;0.151172152558245;0.0734949720647099
60.48055;1.40386;1.62619;3.03209;1.42303;0.1529586710404488;0.0742934955801311
60.72307;1.454;1.67128;3.06476;1.44132;0.15560563948228323;0.07562600058085156
60.97393;1.24091;1.69232;3.09734;1.45961;0.15713999643734067;0.07662151704611464
61.21537;1.26912;1.71636;3.12506;1.47628;0.1598458217017551;0.07780826434473143
61.4591;1.4352;1.74041;3.15306;1.49238;0.16225623732499916;0.0787075619686991
61.75698;1.37566;1.75243;3.18811;1.51114;0.16327248885644052;0.07929922305157044
62.01042;1.31925;1.78249;3.21764;1.52629;0.16556273780152353;0.08107296879443748
62.27487;1.34432;1.80353;3.24964;1.54153;0.16804339728353823;0.08156370790939271
62.53278;1.34746;1.80654;3.28012;1.55553;0.16918802208044936;0.08221717186647759
62.77244;1.37879;1.80654;3.30746;1.56782;0.17102253050449912;0.08311529506026782
63.02875;1.4634;1.83059;3.33823;1.58058;0.17225533023852602;0.08387088272411647
63.27579;1.43206;1.84261;3.36785;1.5921;0.17530098151713713;0.08513900251616846
63.52858;1.48847;1.84261;3.39662;1.60344;0.17637538137628006;0.08551600688749172
63.77641;1.44773;1.86365;3.42357;1.61401;0.17836062742807013;0.08613339056508795
64.03411;1.41013;1.87267;3.45015;1.62449;0.17997626258995214;0.08693413486026835
64.27636;1.45713;1.86966;3.47415;1.63373;0.18155165377223392;0.08771178905848065
64.51861;1.58248;1.86365;3.49891;1.6424;0.1827069510187127;0.08803635333141224
64.85903;1.54487;1.82458;3.50168;1.64201;0.18485231655216616;0.08899568874748054
